Blank time	Blank intensity	Aliquot 1 time	Aliquot 1 intensity	Ali 2 time	Ali 2 intensity	Ali 3 time	Ali 3 intensity					
0	40											
0.0245	60								Retention time to analyze 2.3524-2.965			
0.049	40											
0.0735	40											
0.098	50											
0.1225	40											
0.147	10											
0.1715	20											
0.196	20											
0.2205	50											
0.245	10											
0.2695	10											
0.2941	20											
0.3185	20											
0.3431	50											
0.3676	50											
0.4166	30											
0.4411	10											
0.4656	20											
0.4901	50											
0.5146	80											
0.5391	20											
0.5636	30											
0.5881	40											
0.6126	20											
0.6371	10											
0.6616	20											
0.6861	70											
0.7106	40											
0.7351	10											
0.7596	30											
0.7841	40											
0.8086	40											
0.8331	40											
0.8576	50											
0.8821	10											
0.9067	50											
0.9312	40											
0.9556	30											
0.9801	10											
1.0047	50											
1.0292	50											
1.0537	60											
1.0782	10											
1.1027	30											
1.1272	30											
1.1762	30											
1.2007	10											
1.2252	20											
1.2497	20											
1.2987	10											
1.3232	10											
1.3477	10											
1.3722	30											
1.4212	10											
1.4702	30											
1.4947	20											
1.5193	50											
1.5438	10											
1.5927	30											
1.6173	20											
1.6418	40											
1.6908	20											
1.7153	10											
1.7398	10											
1.7888	10											
1.8133	20											
1.8378	10											
1.8868	10											
1.9358	20											
1.9848	20											
2.0338	30											
2.0583	30											
2.0828	30											
2.1073	10											
2.1319	10											
2.1809	30											
2.2053	20											
2.2789	10											
2.3034	30											
2.3279	10											
2.3524	20	2.3279	120									
2.3769	30	2.3524	420									
2.4014	10	2.3769	2840									
2.4259	30	2.4014	4600									
2.4504	30	2.4259	8940									
2.4749	50	2.4504	25160									
2.4994	20	2.4749	42370									
2.5484	20	2.4994	58190	2.3279	240							
2.5729	30	2.5239	108820	2.3524	920	2.3279	240					
2.5974	30	2.5484	135970	2.3769	3880	2.3524	1000					
2.6219	20	2.5729	135130	2.4014	7060	2.3769	3120					
2.6709	10	2.5974	174870	2.4259	15910	2.4014	6130					
2.6954	40	2.6219	204760	2.4504	26900	2.4259	12380					
2.7689	20	2.6464	133900	2.4749	40240	2.4504	18760					
2.7935	40	2.6709	84710	2.4994	96280	2.4749	35580					
2.818	20	2.6954	64340	2.5239	124890	2.4994	76860					
2.8424	20	2.7199	42540	2.5484	125010	2.5239	65850					
2.867	10	2.7444	46970	2.5729	154410	2.5484	118330					
2.8915	40	2.7689	37040	2.5974	143530	2.5729	147290					
2.9405	50	2.7935	26780	2.6219	173000	2.5974	222280					
2.965	10	2.818	29170	2.6464	121810	2.6219	133980					
2.9895	50	2.8424	12860	2.6709	110790	2.6464	126590					
3.0385	10	2.867	6490	2.6954	68090	2.6709	126740					
3.063	20	2.8915	6440	2.7199	35540	2.6954	64660					
3.0875	10	2.916	5010	2.7444	28970	2.7199	35420					
3.112	10	2.9405	4080	2.7689	36070	2.7444	45130					
3.1365	10			2.7935	34710	2.7689	50560					
3.1855	10			2.818	31340	2.7935	31330					
3.2345	30			2.8424	16530	2.818	33880					
3.2835	10			2.867	5700	2.8424	15470					
3.308	10			2.8915	3840	2.867	6050					
3.357	20			2.916	4670	2.8915	4980					
3.3816	20			2.9405	4190	2.916	3850					
3.4306	40					2.9405	5480					
3.455	10											
3.5041	20											
3.5776	40											
3.6021	10											
3.6266	10											
3.7001	30											
3.7736	10											
3.8226	60											
3.8471	40											
3.8716	20											
3.8961	60											
3.9206	10											
3.9451	30											
3.9696	10											
3.9941	10											
4.0187	20											
4.0431	10											
4.0676	40											
4.0922	20											
4.1167	30											
4.1412	20											
4.1902	10											
4.2147	20											
4.2637	30											
4.2882	20											
4.3127	40											
4.3617	10											
												
												
												
												
