Blank time	Blank intensity	Aliquot 1 time	Aliquot 1 intensity	Ali 2 time	Ali 2 intensity	Ali 3 time	Ali 3 intensity						
0	70												
0.0245	60								Retention time to be analyzed 2.3769-3.0785				
0.049	110												
0.0735	90												
0.098	120												
0.1225	50												
0.147	80												
0.1715	170												
0.196	130												
0.2205	160												
0.245	140												
0.2695	100												
0.2941	110												
0.3185	190												
0.3431	130												
0.3676	130												
0.3921	80												
0.4166	100												
0.4411	80												
0.4656	150												
0.4901	130								Average	STDEV	3*STDEV	LOD	
0.5146	40								180	#DIV/0!	#DIV/0!	#DIV/0!	
0.5391	120												
0.5636	60												
0.5881	160												
0.6126	120												
0.6371	50												
0.6616	40												
0.6861	140												
0.7106	90												
0.7351	60												
0.7596	100												
0.7841	30												
0.8086	100												
0.8331	110												
0.8576	30												
0.8821	50												
0.9067	70												
0.9312	90												
0.9556	40												
0.9801	50												
1.0047	80												
1.0292	100												
1.0537	40												
1.0782	20												
1.1027	20												
1.1272	50												
1.1517	60												
1.1762	30												
1.2007	50												
1.2252	40												
1.2497	40												
1.2742	50												
1.2987	60												
1.3232	60												
1.3477	50												
1.3722	100												
1.3967	70												
1.4212	20												
1.4457	90												
1.4702	100												
1.4947	40												
1.5193	50												
1.5438	80												
1.5682	70												
1.5927	40												
1.6173	10												
1.6418	60												
1.6663	40												
1.6908	100												
1.7153	30												
1.7398	90												
1.7643	50												
1.7888	80												
1.8133	90												
1.8378	50												
1.8623	60												
1.8868	20												
1.9113	30												
1.9358	40												
1.9603	20												
1.9848	70												
2.0093	20												
2.0338	30												
2.0583	30												
2.0828	50												
2.1073	10												
2.1319	40												
2.1563	20												
2.1809	60												
2.2053	50												
2.2299	30												
2.2544	50												
2.2789	40												
2.3034	10												
2.3279	30												
2.3524	30												
2.3769	10			2.4504	270								
2.4014	10	2.4504	180	2.4749	250								
2.4504	60	2.4749	190	2.4994	540	2.4749	390						
2.4749	80	2.4994	420	2.5239	580	2.4994	470						
2.4994	70	2.5239	800	2.5484	1140	2.5239	580						
2.5239	80	2.5484	1050	2.5729	1520	2.5484	890						
2.5484	40	2.5729	1250	2.5974	1620	2.5729	1550						
2.5729	60	2.5974	1550	2.6219	1180	2.5974	1330						
2.5974	60	2.6219	1220	2.6464	960	2.6219	1010						
2.6219	80	2.6464	1280	2.6709	1000	2.6464	860						
2.6464	40	2.6709	910	2.6954	840	2.6709	1270						
2.6709	50	2.6954	740	2.7199	350	2.6954	790						
2.6954	30	2.7199	570	2.7444	410	2.7199	430						
2.7199	40	2.7444	520	2.7689	610	2.7444	410						
2.7444	80	2.7689	630	2.7935	640	2.7689	560						
2.7689	40	2.7935	740	2.818	1080	2.7935	730						
2.7935	30	2.818	1140	2.8424	570	2.818	1060						
2.818	10	2.8424	640	2.867	430	2.8424	610						
2.8424	30	2.867	350	2.8915	250	2.867	300						
2.867	60	2.8915	340	2.916	230	2.8915	170						
2.8915	40	2.916	350	2.9405	330	2.916	220						
2.916	40	2.9405	350	2.965	370	2.9405	350						
2.9405	50	2.965	240	2.9895	300	2.965	150						
2.965	10	2.9895	210	3.014	150	2.9895	120						
2.9895	50	3.014	180			3.014	160						
3.014	20												
3.0385	60												
3.063	20												
3.0875	40												
3.112	20												
3.1365	30												
3.161	30												
3.1855	30												
3.21	40												
3.2345	50												
3.259	10												
3.2835	50												
3.308	30												
3.3325	40												
3.357	60												
3.3816	40												
3.406	80												
3.4306	90												
3.455	30												
3.4795	40												
3.5041	30												
3.5286	30												
3.5531	20												
3.5776	120												
3.6021	40												
3.6266	20												
3.6511	70												
3.6756	80												
3.7001	20												
3.7246	80												
3.7736	20												
3.7981	50												
3.8226	40												
3.8471	40												
3.8716	50												
3.8961	80												
3.9206	30												
3.9451	40												
3.9696	40												
3.9941	40												
4.0187	90												
4.0431	50												
4.0676	50												
4.0922	10												
4.1167	40												
4.1412	60												
4.1657	40												
4.1902	50												
4.2147	80												
4.2392	110												
4.2637	90												
4.2882	40												
4.3127	60												
4.3372	30												
4.3617	30												
4.3862	110												
4.4107	110												
4.4352	50												
4.4597	40												
4.4842	60												
4.5087	100												
4.5332	70												
4.5577	70												
4.5822	100												
4.6067	70												
4.6312	50												
4.6557	60												
4.6803	50												
4.7048	40												
4.7293	30												
4.7538	90												
4.7783	90												
4.8028	130												
4.8273	100												
4.8518	80												
4.8763	60												
4.9008	50												
4.9253	110												
4.9498	90												
4.9743	90												
4.9988	40												
5.0233	90												
