Blank time	Blank intensity	Aliquot 1 time	Aliquot 1 intensity	Ali 2 time	Ali 2 intensity	Ali 3 time	Ali 3 intensity						
0	10												
0.0245	20								Retention time to be analyzed 2.3796-3.1365 min				
0.049	20												
0.0735	30												
0.147	10												
0.196	10												
0.3431	10												
0.4411	50												
0.6126	10												
0.6861	10												
1.0047	20												
1.0292	10												
1.0537	10												
1.0782	10												
1.1272	10												
1.1517	10												
1.2742	20												
1.3722	10												
1.3967	20												
1.4702	10								Average	STDEV	3*STDEV	LOD	
1.5682	10								#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	
1.7398	10												
1.7888	20												
1.8623	10												
1.9113	30												
1.9603	10												
2.1319	30												
2.1563	10												
2.1809	10												
2.2053	10												
2.2544	10												
2.3769	10	2.4504	100										
2.5239	10	2.4749	160										
2.5484	20	2.4994	360										
2.6709	10	2.5239	530										
2.6954	10	2.5484	570										
2.818	10	2.5729	570										
2.8424	30	2.5974	1070										
2.9405	10	2.6219	930										
3.2835	30	2.6464	710			2.4504	120						
3.357	10	2.6709	670			2.4749	170						
3.406	10	2.6954	550			2.4994	310						
3.5041	20	2.7199	340	2.4504	120	2.5239	270						
3.5531	10	2.7444	260	2.4749	210	2.5484	730						
3.6021	10	2.7689	280	2.4994	270	2.5729	740						
3.6266	10	2.7935	270	2.5239	610	2.5974	850						
3.7491	10	2.818	270	2.5484	570	2.6219	960						
3.7981	20	2.8424	230	2.5729	990	2.6464	620						
3.8226	10	2.867	130	2.5974	990	2.6709	440						
3.8961	30	2.8915	270	2.6219	930	2.6954	260						
3.9451	10	2.916	170	2.6464	550	2.7199	210						
3.9696	10	2.9405	210	2.6709	450	2.7444	210						
4.0187	10	2.965	270	2.6954	270	2.7689	180						
4.0431	20	2.9895	150	2.7199	230	2.7935	180						
4.1412	10	3.014	90	2.7444	180	2.818	340						
4.1902	10			2.7689	210	2.8424	150						
4.3127	10			2.7935	190	2.867	90						
4.4107	10			2.818	200	2.8915	240						
4.5332	10			2.8424	110	2.916	160						
4.6803	20			2.867	190	2.9405	250						
4.7783	10			2.8915	220	2.965	110						
4.9498	20			2.916	110	2.9895	220						
5.0723	20			2.9405	150	3.014	100						
				2.965	230								
				2.9895	120								
				3.014	110								
