Blank time	Blank intensity	Aliquot 1 time	Aliquot 1 intensity	Ali 2 time	Ali 2 intensity	Ali 3 time	Ali 3 intensity						
0.245	10												
0.5881	10								Retention time to be analyzed 2.3769-3.112 min				
1.1272	10												
1.5927	10												
1.6418	10												
1.7153	10												
2.6709	10					2.4014	70						
2.818	10	2.4504	110	2.4504	60	2.4259	60						
2.9405	10	2.4749	190	2.4749	140	2.4504	240						
3.5286	10	2.4994	220	2.4994	230	2.4749	260						
3.7001	10	2.5239	360	2.5239	320	2.4994	340						
3.8226	10	2.5484	490	2.5484	420	2.5239	440						
3.8471	10	2.5729	540	2.5729	450	2.5484	770						
3.8716	40	2.5974	410	2.5974	610	2.5729	450						
4.6312	10	2.6219	290	2.6219	380	2.5974	430						
4.7293	10	2.6464	160	2.6464	240	2.6219	240						
4.9988	10	2.6709	140	2.6709	240	2.6464	170						
		2.6954	170	2.6954	180	2.6709	210						
		2.7199	120	2.7199	170	2.6954	80						
		2.7444	90	2.7444	60	2.7199	120			Average	STDEV	3*STDEV	LOD
		2.7689	120	2.7689	90	2.7444	30			#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
		2.7935	50	2.7935	70	2.7689	50						
		2.818	70	2.818	30	2.7935	30						
		2.8424	90	2.8424	120	2.818	40						
		2.867	110	2.867	80	2.8424	50						
		2.8915	120	2.8915	150	2.867	70						
		2.916	60	2.916	150	2.8915	170						
		2.9405	170	2.9405	200	2.916	140						
		2.965	110	2.965	120	2.9405	90						
		2.9895	60	2.9895	190	2.965	70						
		3.014	110	3.014	120	2.9895	90						
		3.0385	60	3.0385	30	3.014	10						
		3.063	30	3.063	40	3.0385	100						
		3.0875	30	3.0875	50	3.063	50						
						3.0875	10						
