ID,DemAffl,DemAge,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime,TargetBuy,PromClass_Dummy_Platinum,PromClass_Dummy_Gold,PromClass_Dummy_Silver,DemAffl_M,DemAge_M,PromTime_M,DemClusterGroup_M,DemGender_M,DemReg_M,DemTVReg_M,RND
140,10,76,C,U,Midlands,Wales & West,Gold,16000,4,0,0,1,0,0,0,0,0,0,0,0,0.5149314369
868,5,70,D,F,Midlands,Wales & West,Silver,0.02,8,1,0,0,1,0,0,0,0,0,0,0,0.1738167746
1120,10,65,F,M,Midlands,Midlands,Tin,0.01,7,1,0,0,0,0,0,0,0,0,0,0,0.4718560336
2313,11,68,A,F,Midlands,Midlands,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.3440753316
2771,9,72,D,U,North,N West,Platinum,20759.81,3,0,1,0,0,0,0,0,0,0,0,0,0.3657116566
3131,11,74,A,F,Midlands,East,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.2128753528
7420,7,60,F,F,North,N East,Gold,11000,2,0,0,1,0,0,0,0,0,0,0,0,0.0754292515
9814,5,54,C,M,South East,London,Silver,5000,1,1,0,0,1,0,1,0,0,0,0,0,0.4843449069
10219,6,64,C,F,South East,S & S East,Tin,0.01,9,0,0,0,0,0,0,0,0,0,0,0,0.1585127684
10812,16,37,C,F,South East,London,Tin,0.01,4,1,0,0,0,0,0,0,0,0,0,0,0.5635088741
11932,5,70,B,F,Midlands,Midlands,Gold,6104.66,8,0,0,1,0,0,0,0,0,0,0,0,0.3641816668
14656,8,42,C,F,Midlands,East,Tin,0.01,5,1,0,0,0,1,0,0,0,0,0,0,0.0145159909
19496,9,66,F,F,Midlands,Midlands,Silver,500,12,0,0,0,1,0,0,0,0,0,0,0,0.3195502885
20761,7,66,D,M,South East,S & S East,Silver,1000,5,0,0,0,1,0,0,0,0,0,0,0,0.3400498509
26387,8,72,U,F,Midlands,Ulster,Silver,1250,23,1,0,0,1,1,0,0,1,0,0,0,0.3277701094
27715,7,43,F,M,North,N West,Tin,0.01,5,1,0,0,0,0,0,0,0,0,0,0,0.3608029044
29440,8,37,B,M,South West,S West,Silver,1000,9,1,0,0,1,0,0,0,0,0,0,0,0.4032619234
30937,8,79,D,U,North,N East,Gold,6000,1,0,0,1,0,0,0,0,0,1,0,0,0.0306775533
41092,3,50,D,F,Midlands,East,Gold,9800,3,0,0,1,0,0,0,0,0,0,0,0,0.2266410451
42439,15,35,C,F,Midlands,Wales & West,Silver,1630,5,1,0,0,1,0,0,0,0,0,0,0,0.4716219606
45799,10,71,B,F,Midlands,Wales & West,Silver,1500,5,0,0,0,1,0,0,0,0,0,0,0,0.5790280092
50237,8,42,B,M,North,N East,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.3285820318
51950,9,68,B,F,South West,S West,Gold,6053.25,5,1,0,1,0,0,0,0,0,0,0,0,0.2479189747
56073,8,70,B,F,South East,London,Gold,19053.82,15,0,0,1,0,0,0,0,0,0,0,0,0.0651162518
57622,12,41,U,M,Midlands,East,Tin,0.01,9,0,0,0,0,0,0,0,1,0,0,0,0.0694187056
59056,9,37,F,F,North,N East,Gold,6000,1,1,0,1,0,0,0,0,0,0,0,0,0.0512005631
59862,8,58,C,F,North,N West,Gold,10053.35,7,0,0,1,0,0,0,0,0,0,0,0,0.283152674
63002,7,47,D,U,South East,London,Silver,0.02,5,0,0,0,1,0,0,0,0,1,0,0,0.3362734948
71986,8,62,D,F,Midlands,Midlands,Silver,1000,5,1,0,0,1,0,0,0,0,0,0,0,0.3527337296
72559,15,72,E,U,Midlands,Midlands,Gold,6340.26,12,0,0,1,0,0,0,0,0,0,0,0,0.4776671051
75205,6,76,D,M,Midlands,Wales & West,Gold,12000,19,0,0,1,0,0,0,0,0,0,0,0,0.0343794394
75469,7,61,B,F,Scottish,Border,Gold,6000,11,1,0,1,0,0,0,0,0,0,0,0,0.0967637441
80322,6,53,D,U,Midlands,Midlands,Tin,0.01,5,0,0,0,0,0,0,0,0,1,0,0,0.2930013311
80608,8,60,C,M,North,Yorkshire,Silver,60,11,1,0,0,1,0,0,0,0,0,0,0,0.2443734939
82678,15,42,F,F,South East,London,Tin,0.01,5,1,0,0,0,0,0,0,0,0,0,0,0.2587173899
83852,13,54,A,F,South East,London,Silver,5000,4,0,0,0,1,0,1,0,0,0,0,0,0.4563914307
87750,6,45,F,M,Midlands,Midlands,Tin,0.01,4,0,0,0,0,0,0,0,0,0,0,0,0.5805350466
