@relation 'organics_s10_Training-weka.filters.unsupervised.attribute.Remove-R1-2,4,6-10,12-14,17-18,20-23,25-weka.filters.unsupervised.attribute.NumericToNominal-R2-6'

@attribute DemAge numeric
@attribute DemGender {U,F,M}
@attribute TargetBuy {0,1}
@attribute DemAffl_M {0,1}
@attribute DemAge_M {0,1}
@attribute DemGender_M {0,1}
@attribute DemAffl_Log numeric

@data
76,U,0,0,0,0,2.397895
70,F,1,0,0,0,1.791759
65,M,1,0,0,0,2.397895
68,F,0,0,0,0,2.484907
72,U,0,0,0,0,2.302585
74,F,0,0,0,0,2.484907
60,F,0,0,0,0,2.079442
54,M,1,0,1,0,1.791759
64,F,0,0,0,0,1.94591
37,F,1,0,0,0,2.833213
70,F,0,0,0,0,1.791759
42,F,1,1,0,0,2.197225
66,F,0,0,0,0,2.302585
66,M,0,0,0,0,2.079442
72,F,1,1,0,0,2.197225
43,M,1,0,0,0,2.079442
37,M,1,0,0,0,2.197225
79,U,0,0,0,1,2.197225
50,F,0,0,0,0,1.386294
35,F,1,0,0,0,2.772589
71,F,0,0,0,0,2.397895
42,M,0,0,0,0,2.197225
68,F,1,0,0,0,2.302585
70,F,0,0,0,0,2.197225
41,M,0,0,0,0,2.564949
37,F,1,0,0,0,2.302585
58,F,0,0,0,0,2.197225
47,U,0,0,0,1,2.079442
62,F,1,0,0,0,2.197225
72,U,0,0,0,0,2.772589
76,M,0,0,0,0,1.94591
61,F,1,0,0,0,2.079442
53,U,0,0,0,1,1.94591
60,M,1,0,0,0,2.197225
42,F,1,0,0,0,2.772589
54,F,0,0,1,0,2.639057
45,M,0,0,0,0,1.94591
75,F,1,0,0,0,2.484907
37,F,1,0,0,0,2.197225
61,F,0,0,0,0,2.564949
39,F,1,0,0,0,2.995732
57,M,0,0,0,0,2.197225
18,F,0,0,0,0,2.639057
56,U,0,0,0,0,1.791759
50,F,0,0,0,0,2.302585
67,U,0,0,0,0,2.484907
66,F,0,0,0,0,2.484907
51,U,0,0,0,0,1.098612
60,U,0,0,0,1,2.397895
48,M,0,0,0,0,2.302585
47,F,0,0,0,0,2.197225
39,F,1,0,0,0,2.484907
60,F,0,0,0,0,2.302585
54,M,0,0,1,0,1.94591
41,M,1,0,0,0,2.639057
35,F,1,0,0,0,2.302585
50,M,0,0,0,0,2.079442
62,U,0,0,0,1,1.94591
60,M,0,0,0,0,2.302585
49,F,0,0,0,0,2.197225
57,M,0,0,0,0,1.94591
52,U,0,0,0,0,2.079442
