@relation 'organics_Training-weka.filters.unsupervised.attribute.Remove-R1,4,6-10,12-14,17-18,20-22-weka.filters.unsupervised.attribute.NumericToNominal-R3-7'

@attribute DemAffl numeric
@attribute DemAge numeric
@attribute DemGender {U,F,M}
@attribute TargetBuy {0,1}
@attribute DemAffl_M {0,1}
@attribute DemAge_M {0,1}
@attribute DemGender_M {0,1}

@data
10,76,U,0,0,0,0
5,70,F,1,0,0,0
10,65,M,1,0,0,0
11,68,F,0,0,0,0
9,72,U,0,0,0,0
11,74,F,0,0,0,0
7,60,F,0,0,0,0
5,54,M,1,0,1,0
6,64,F,0,0,0,0
16,37,F,1,0,0,0
5,70,F,0,0,0,0
8,42,F,1,1,0,0
9,66,F,0,0,0,0
7,66,M,0,0,0,0
8,72,F,1,1,0,0
7,43,M,1,0,0,0
8,37,M,1,0,0,0
8,79,U,0,0,0,1
3,50,F,0,0,0,0
15,35,F,1,0,0,0
10,71,F,0,0,0,0
8,42,M,0,0,0,0
9,68,F,1,0,0,0
8,70,F,0,0,0,0
12,41,M,0,0,0,0
9,37,F,1,0,0,0
8,58,F,0,0,0,0
7,47,U,0,0,0,1
8,62,F,1,0,0,0
15,72,U,0,0,0,0
6,76,M,0,0,0,0
7,61,F,1,0,0,0
6,53,U,0,0,0,1
8,60,M,1,0,0,0
15,42,F,1,0,0,0
13,54,F,0,0,1,0
6,45,M,0,0,0,0
11,75,F,1,0,0,0
8,37,F,1,0,0,0
12,61,F,0,0,0,0
19,39,F,1,0,0,0
8,57,M,0,0,0,0
13,18,F,0,0,0,0
5,56,U,0,0,0,0
9,50,F,0,0,0,0
11,67,U,0,0,0,0
11,66,F,0,0,0,0
2,51,U,0,0,0,0
10,60,U,0,0,0,1
9,48,M,0,0,0,0
8,47,F,0,0,0,0
11,39,F,1,0,0,0
9,60,F,0,0,0,0
6,54,M,0,0,1,0
13,41,M,1,0,0,0
9,35,F,1,0,0,0
7,50,M,0,0,0,0
6,62,U,0,0,0,1
9,60,M,0,0,0,0
8,49,F,0,0,0,0
6,57,M,0,0,0,0
7,52,U,0,0,0,0
5,57,F,0,0,0,0
8,52,F,1,0,0,0
12,74,F,0,0,0,0
9,79,F,0,0,0,0
6,48,U,0,0,0,1
9,58,F,0,0,0,0
3,45,F,0,0,0,0
9,42,F,0,0,0,0
10,40,U,0,0,0,0
5,55,U,0,0,0,1
11,27,F,1,0,0,0
4,60,F,0,0,0,0
7,58,U,0,0,0,0
7,42,M,0,0,0,0
10,36,F,1,0,0,0
6,54,F,1,0,1,0
10,54,F,1,0,1,0
9,76,F,1,0,0,0
14,54,F,0,0,1,0
12,61,F,0,0,0,0
9,47,M,0,0,0,0
8,52,U,0,0,0,0
8,40,U,0,0,0,0
5,56,F,0,0,0,0
9,50,F,0,0,0,0
8,41,F,1,0,0,0
8,60,M,0,0,0,0
10,70,F,0,0,0,0
9,50,F,1,0,0,0
15,37,F,1,0,0,0
9,74,F,0,0,0,0
8,49,U,0,0,0,1
9,53,M,0,0,0,0
4,54,F,0,0,1,0
8,59,U,0,1,0,0
7,63,U,0,0,0,1
7,51,F,0,0,0,0
10,39,M,1,0,0,0
6,53,M,1,0,0,0
7,48,F,0,0,0,0
6,43,F,0,0,0,0
3,67,F,0,0,0,0
2,45,F,0,0,0,0
13,68,F,0,0,0,0
14,74,U,0,0,0,0
5,51,M,0,0,0,0
6,51,F,0,0,0,0
11,36,M,0,0,0,0
8,63,F,0,0,0,0
8,69,F,0,0,0,0
11,40,F,1,0,0,0
4,46,F,0,0,0,0
8,46,M,0,1,0,0
8,46,F,1,0,0,0
11,73,U,0,0,0,0
5,53,F,0,0,0,0
9,54,F,0,0,0,0
10,39,M,1,0,0,0
5,58,F,0,0,0,0
8,33,F,1,0,0,0
4,71,M,0,0,0,0
10,55,M,0,0,0,0
8,57,M,0,1,0,0
13,53,M,0,0,0,0
13,43,M,0,0,0,0
8,47,F,0,0,0,0
9,58,F,0,0,0,0
8,56,F,0,0,0,0
5,47,F,0,0,0,0
14,30,F,1,0,0,0
3,68,F,1,0,0,0
8,45,F,0,0,0,0
7,71,F,0,0,0,0
10,74,F,0,0,0,0
10,43,F,1,0,0,0
11,44,F,0,0,0,0
9,65,U,0,0,0,0
7,46,M,0,0,0,0
8,29,F,0,0,0,0
7,53,F,1,0,0,0
9,64,M,0,0,0,0
10,49,M,1,0,0,0
17,59,F,1,0,0,0
8,37,F,0,0,0,0
5,60,U,0,0,0,1
10,64,U,0,0,0,1
3,54,F,0,0,1,0
15,51,F,1,0,0,0
8,47,F,0,0,0,0
5,48,U,0,0,0,0
4,61,F,0,0,0,0
7,68,M,0,0,0,0
12,76,F,0,0,0,0
4,56,F,0,0,0,0
8,73,M,1,0,0,0
8,37,F,1,0,0,0
8,32,F,1,1,0,0
10,35,F,0,0,0,0
6,46,F,0,0,0,0
5,70,F,0,0,0,0
9,37,M,1,0,0,0
4,46,U,0,0,0,0
3,68,U,0,0,0,0
12,49,F,0,0,0,0
4,63,F,0,0,0,0
4,62,U,0,0,0,0
5,54,F,1,0,1,0
8,42,F,0,1,0,0
7,43,F,0,0,0,0
8,64,F,0,0,0,0
9,45,F,0,0,0,0
17,54,F,1,0,1,0
9,40,F,0,0,0,0
7,70,F,0,0,0,0
20,54,F,1,0,1,0
6,56,U,0,0,0,1
15,32,U,1,0,0,1
8,65,U,0,0,0,1
8,43,F,0,0,0,0
7,42,M,0,0,0,0
4,22,U,0,0,0,0
8,31,U,0,0,0,0
9,54,M,0,0,1,0
8,54,M,0,0,0,0
9,53,M,0,0,0,0
8,63,U,0,0,0,1
7,65,F,0,0,0,0
14,39,F,1,0,0,0
9,42,F,1,0,0,0
7,78,F,0,0,0,0
9,54,M,0,0,1,0
9,38,F,1,0,0,0
11,42,M,0,0,0,0
9,75,F,0,0,0,0
