ID,DemAffl,DemAge,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime,TargetBuy,PromClass_Dummy_Platinum,PromClass_Dummy_Gold,PromClass_Dummy_Silver,DemAffl_M,DemAge_M,PromTime_M,DemClusterGroup_M,DemGender_M,DemReg_M,DemTVReg_M,promSpend_Log,promTime_Log,DemAffl_Log
140,10,76,C,U,Midlands,Wales & West,Gold,16000,4,0,0,1,0,0,0,0,0,0,0,0,9.6804064993,1.6094379124,2.3978952728
620,4,49,D,U,Midlands,Wales & West,Gold,6000,5,0,0,1,0,0,0,0,0,0,0,0,8.699681401,1.7917594692,1.6094379124
868,5,70,D,F,Midlands,Wales & West,Silver,0.02,8,1,0,0,1,0,0,0,0,0,0,0,0.0198026273,2.1972245773,1.7917594692
1120,10,65,F,M,Midlands,Midlands,Tin,0.01,7,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.0794415417,2.3978952728
2313,11,68,A,F,Midlands,Midlands,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.1972245773,2.4849066498
2771,9,72,D,U,North,N West,Platinum,20759.81,3,0,1,0,0,0,0,0,0,0,0,0,9.9408223539,1.3862943611,2.302585093
3131,11,74,A,F,Midlands,East,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.1972245773,2.4849066498
3328,13,62,D,M,North,N East,Tin,0.01,5,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,2.6390573296
4529,10,62,F,M,Midlands,East,Silver,2038.76,3,0,0,0,1,0,0,0,0,0,0,0,7.6205874329,1.3862943611,2.3978952728
5886,14,43,F,F,Unknown,Unknown,Gold,6000,1,1,0,1,0,0,0,0,0,0,1,1,8.699681401,0.6931471806,2.7080502011
7420,7,60,F,F,North,N East,Gold,11000,2,0,0,1,0,0,0,0,0,0,0,0,9.3057414567,1.0986122887,2.0794415417
9814,5,54,C,M,South East,London,Silver,5000,1,1,0,0,1,0,1,0,0,0,0,0,8.5173931714,0.6931471806,1.7917594692
10006,9,51,F,F,Midlands,Midlands,Silver,300,11,0,0,0,1,0,0,0,0,0,0,0,5.7071102647,2.4849066498,2.302585093
10219,6,64,C,F,South East,S & S East,Tin,0.01,9,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.302585093,1.9459101491
10812,16,37,C,F,South East,London,Tin,0.01,4,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.6094379124,2.8332133441
11207,8,54,D,M,Midlands,Midlands,Silver,1420,1,0,0,0,1,0,0,0,0,0,0,0,7.2591161281,0.6931471806,2.1972245773
11932,5,70,B,F,Midlands,Midlands,Gold,6104.66,8,0,0,1,0,0,0,0,0,0,0,0,8.7169714888,2.1972245773,1.7917594692
14656,8,42,C,F,Midlands,East,Tin,0.01,5,1,0,0,0,1,0,0,0,0,0,0,0.0099503309,1.7917594692,2.1972245773
15350,7,54,E,F,Scottish,C Scotland,Tin,0.01,5,1,0,0,0,0,1,0,0,0,0,0,0.0099503309,1.7917594692,2.0794415417
17302,7,49,D,U,South East,London,Tin,0.01,7,0,0,0,0,0,0,0,0,1,0,0,0.0099503309,2.0794415417,2.0794415417
19496,9,66,F,F,Midlands,Midlands,Silver,500,12,0,0,0,1,0,0,0,0,0,0,0,6.2166061011,2.5649493575,2.302585093
19763,9,74,B,F,Midlands,Wales & West,Gold,6000,2,0,0,1,0,0,0,0,0,0,0,0,8.699681401,1.0986122887,2.302585093
20478,6,70,E,U,Midlands,East,Gold,16000,2,0,0,1,0,0,0,0,0,1,0,0,9.6804064993,1.0986122887,1.9459101491
20761,7,66,D,M,South East,S & S East,Silver,1000,5,0,0,0,1,0,0,0,0,0,0,0,6.9087547793,1.7917594692,2.0794415417
23124,6,46,D,F,South East,London,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.1972245773,1.9459101491
24554,10,39,U,M,Midlands,Ulster,Tin,0.01,5,0,0,0,0,0,0,0,1,0,0,0,0.0099503309,1.7917594692,2.3978952728
24880,7,75,B,M,Midlands,East,Silver,4000,7,0,0,0,1,0,0,0,0,0,0,0,8.2942996089,2.0794415417,2.0794415417
26387,8,72,U,F,Midlands,Ulster,Silver,1250,23,1,0,0,1,1,0,0,1,0,0,0,7.1316985105,3.1780538303,2.1972245773
27715,7,43,F,M,North,N West,Tin,0.01,5,1,0,0,0,0,0,0,0,0,0,0,0.0099503309,1.7917594692,2.0794415417
29173,7,62,C,F,Midlands,Wales & West,Gold,20000,4,0,0,1,0,0,0,0,0,0,0,0,9.9035375513,1.6094379124,2.0794415417
29440,8,37,B,M,South West,S West,Silver,1000,9,1,0,0,1,0,0,0,0,0,0,0,6.9087547793,2.302585093,2.1972245773
30600,9,49,F,F,South East,London,Tin,0.01,8,0,0,0,0,0,0,0,0,0,0,0,0.0099503309,2.1972245773,2.302585093
30937,8,79,D,U,North,N East,Gold,6000,1,0,0,1,0,0,0,0,0,1,0,0,8.699681401,0.6931471806,2.1972245773
39330,8,54,F,M,Midlands,East,Tin,0.01,4,0,0,0,0,1,1,0,0,0,0,0,0.0099503309,1.6094379124,2.1972245773
